device,arch,runtime,power_boundary,model,precision,lat_med_ms,lat_p95_ms,throughput_ips,power_W,energy_mJ_per_inf,params_M,peak_mem_MB
orin,Orin,pytorch,board,ronin_resnet18,fp32,14.9806,15.0665,71.2,3.73,52.3768,4.635,30.5
orin,Orin,pytorch,board,ronin_resnet18,fp16,17.4993,18.6152,57.4,3.63,63.1706,4.635,27.1
orin,Orin,pytorch,board,ronin_resnet18,bf16,17.3235,17.7013,58.4,3.63,62.1227,4.635,27.1
orin,Orin,pytorch,board,ronin_tcn,fp32,14.2208,14.76,70.7,3.53,49.9308,0.54,5.9
orin,Orin,pytorch,board,ronin_tcn,fp16,14.9988,15.8578,66.9,3.53,52.7219,0.54,2.9
orin,Orin,pytorch,board,ronin_tcn,bf16,14.8092,15.2889,67.5,3.53,52.2436,0.54,2.9
orin,Orin,pytorch,board,ronin_lstm,fp32,3.9714,6.9847,369.6,3.53,9.5454,0.206,11.9
orin,Orin,pytorch,board,ronin_lstm,fp16,3.7957,6.819,379.7,3.63,9.5548,0.206,11.1
orin,Orin,pytorch,board,ronin_lstm,bf16,62.644,63.3907,15.8,3.43,217.1485,0.206,11.4
orin,Orin,pytorch,board,imunet,fp32,20.5951,21.2033,48.6,3.53,72.5731,3.662,24.3
orin,Orin,pytorch,board,imunet,fp16,26.5294,27.8,39.0,3.53,90.3903,3.662,24.1
orin,Orin,pytorch,board,imunet,bf16,25.7363,26.6196,40.0,3.53,88.1947,3.662,24.1
orin,Orin,pytorch,board,mobilenetv2,fp32,24.851,25.0779,40.3,3.53,87.5278,2.183,17.7
orin,Orin,pytorch,board,mobilenetv2,fp16,32.9349,33.8673,30.4,3.53,115.9236,2.183,17.5
orin,Orin,pytorch,board,mobilenetv2,bf16,32.5832,33.302,30.5,3.53,115.7835,2.183,17.5
orin,Orin,pytorch,board,mnasnet,fp32,25.1844,26.0119,40.0,3.53,88.0965,2.979,20.9
orin,Orin,pytorch,board,mnasnet,fp16,32.9781,33.6872,30.4,3.53,116.153,2.979,20.7
orin,Orin,pytorch,board,mnasnet,bf16,33.1566,34.022,30.6,3.53,115.3224,2.979,20.7
orin,Orin,pytorch,board,efficientnet_b0,fp32,27.2082,27.9819,37.0,3.53,95.4111,3.232,21.9
orin,Orin,pytorch,board,efficientnet_b0,fp16,34.3823,34.984,29.3,3.43,116.9923,3.232,21.7
orin,Orin,pytorch,board,efficientnet_b0,bf16,34.3287,34.4976,29.3,3.43,116.7983,3.232,21.7
orin,Orin,pytorch,board,tlio_resnet,fp32,15.3773,15.524,65.4,3.73,57.0203,5.425,33.6
orin,Orin,pytorch,board,tlio_resnet,fp16,18.8717,19.0598,53.4,3.53,66.0916,5.425,30.3
orin,Orin,pytorch,board,tlio_resnet,bf16,18.8013,18.9597,53.6,3.53,65.8439,5.425,30.3
orin,Orin,pytorch,board,tinyodom,fp32,11.0207,11.2221,91.1,3.43,37.6259,0.11,9.3
orin,Orin,pytorch,board,tinyodom,fp16,12.284,12.5035,82.4,3.43,41.5775,0.11,9.0
orin,Orin,pytorch,board,tinyodom,bf16,12.2156,12.4643,83.7,3.43,40.9659,0.11,9.0
orin,Orin,pytorch,board,eqnio,fp32,41.806,42.2142,24.2,3.53,145.9414,5.23,32.9
orin,Orin,pytorch,board,eqnio,fp16,44.9386,45.8595,22.3,3.53,158.2484,5.23,29.7
orin,Orin,pytorch,board,eqnio,bf16,44.849,45.1909,22.3,3.53,157.8599,5.23,29.7
