model,precision,ate_m,rte_m,n_seq
ronin_resnet18,fp32,0.9018,1.1096,53
ronin_resnet18,fp16,0.9007,1.1086,53
ronin_resnet18,bf16,0.9139,1.1218,53
imunet,fp32,0.9704,1.0649,53
imunet,fp16,0.9698,1.066,53
imunet,bf16,0.9642,1.0507,53
mobilenetv2,fp32,0.9338,1.0692,53
mobilenetv2,fp16,0.9331,1.067,53
mobilenetv2,bf16,0.9413,1.0852,53
mnasnet,fp32,0.9039,1.1045,53
mnasnet,fp16,0.9032,1.103,53
mnasnet,bf16,0.9175,1.1459,53
efficientnet_b0,fp32,0.9811,1.1952,53
efficientnet_b0,fp16,0.9826,1.1991,53
efficientnet_b0,bf16,1.0216,1.2641,53
tinyodom,fp32,1.2068,1.4255,53
tinyodom,fp16,1.2068,1.4238,53
tinyodom,bf16,1.2061,1.4298,53
ronin_lstm,fp32,1.2494,1.3745,53
ronin_lstm,fp16,1.2496,1.3746,53
ronin_lstm,bf16,1.2704,1.4018,53
ronin_tcn,fp32,1.2093,1.3406,53
ronin_tcn,fp16,1.2113,1.3431,53
ronin_tcn,bf16,1.233,1.3716,53
